Comments;type
mankasitraka be dia be;1
mety ihany !;1
tsy ratsy;1
milay;1
Tena mahatalanjona tokoa ity tetikasa ity—asa tsara!;1
"Tiako ny maha zava-baovao izany; mpandova lalao izany.";1
Ny endrika dia malefaka sy mora ampiasaina.;1
Ezaka mahafinaritra, tena nihoatra ny tenanao ianao!;1
Hanampy olona maro be izany—misaotra!;1
Mahavariana ny fiheverana ny antsipiriany eto.;1
Faly aho noho ny fahaiza-mamorona amin'ity tetikasa ity.;1
Hevitra vita tsara toy izany — dera ho an'ny ekipa!;1
Ity no iray amin'ireo tetikasa tsara indrindra hitako tao anatin'ny fotoana fohy.;1
Ny fampiasa dia ambony indrindra — super intuitive!;1
Tsy andriko ny hahita hoe aiza ho aiza ity tetikasa ity.;1
Hevitra mamiratra, tanterahina tsara.;1
Nametraka fenitra vaovao ianao amin'ity - vita tsara!;1
Mendrika ny deraina rehetra ny ekipa ao ambadik'izany.;1
Ity tetikasa ity dia manana fahafahana be dia be — faly aho!;1
Mamelombelona ny mahita zavatra voahevitra tsara.;1
Ny kalitao eto dia miavaka.;1
Izany indrindra no ilain’ny indostria amin’izao fotoana izao.;1
Manoro izany amin'ny olona rehetra fantatro aho!;1
Ny vina ao ambadik'izany dia manentana.;1
Ny lafiny rehetra amin'ity tetikasa ity dia mahatsapa ho voavolavola.;1
Manamora ny fiainako izany—misaotra!;1
Ny famoronana eto dia tsy eo amin'ny tabilao.;1
Tena talanjona aho tamin'ny ezaka natao tamin'izany.;1
Ity tetikasa ity dia fofon'aina.;1
Tsy misy kilema ny famonoana — asa tsara!;1
Azoko lazaina fa fitiavana be dia be no niditra tamin'izany.;1
Fandraisan'anjara mahafinaritra amin'ny sehatra izany.;1
Ny interface dia madio sy mora ampiasaina.;1
Nofantsihanao tamin'ity tetikasa ity izany!;1
Hitondra onja izany—mariho ny teniko.;1
Mankasitraka ny fahafahan'ny rehetra idirana izany aho.;1
Ireo endri-javatra dia misongadina—izay nilaiko mihitsy.;1
Ity tetikasa ity dia mendrika ny fankasitrahana rehetra azony.;1
Tena variana aho amin'ny fiasan'ity!;1
Miharihary ny fiheverana amin'ity famolavolana ity.;1
Fandrosoana lehibe izany—miarahaba!;1
Tsy afaka mijanona amin'izany aho amin'ny namako.;1
Tsy mampino ny fampisehoana — haingana be!;1
Mahatsiaro ho toy ny ho avy ity tetikasa ity.;1
Nanao zavatra tena miavaka ianao teto.;1
Mahafinaritra ny fampiasana - asa tsara!;1
Tena faly aho fa misy ity—misaotra anao namorona azy.;1
Ity dia sangan'asa amin'ny lafiny rehetra.;1
Ny asa mafy ataon'ny ekipa dia tena mamirapiratra.;1
Nihoatra noho ny nantenaiko rehetra ity tetikasa ity.;1
Tiako ny fahatsorana sy ny hakanton'ity.;1
Namorona zavatra tena sarobidy ianao.;1
Ity no iray amin'ireo tsara indrindra hitako.;1
Ny zava-baovao eto dia tsy tena izy — mahagaga!;1
Fandresena tanteraka ity tetikasa ity!;1
Tena talanjona aho tamin'ny kalitaon'ity.;1
Izany dia hanova ny lalao azo antoka.;1
Ny endri-javatra dia noheverina tsara.;1
Mahatsiaro ho toy ny asan'ny fitiavana ity tetikasa ity.;1
afa-po amin'ny hatsaran'ity aho!;1
Zava-dehibe ny fiheverana ny filan'ny mpampiasa.;1
Vahaolana tsara ho an'ny olana lehibe izany.;1
Nivoaka ny valan-javaboary ianao tamin'ity iray ity!;1
Mahafinaritra ny estetika - vita tsara!;1
Ity tetikasa ity dia tena genius.;1
Tena faly aho mampiasa an'io isan'andro.;1
Mendrika tehaka mijoro ny ekipa!;1
Ity dia tena voarafitra tsara.;1
Tiako ny maha-pratika sy mahasoa azy io.;1
Ity tetikasa ity dia mametraka bara avo ho an'ny hafa.;1
Ny traikefa dia mirindra — asa mahafinaritra!;1
Nofinofy tanteraka ho an'ny mpampiasa toa ahy izany.;1
Ny fanavaozana eto dia tena manentana.;1
Namorona vatosoa tena izy tamin'izany ianao.;1
Fandresena tanteraka ity tetikasa ity!;1
Gaga aho amin'ny fomba voapoizina ity.;1
Ny fonctionnaire dia mampiakatra ahy.;1
Tsy maintsy ananana izany—asa tsara!;1
Mendrika tehaka ny famoronana eto.;1
Ity tetikasa ity dia tonga lafatra 10/10.;1
Tena faly aho tamin'izay vitanao.;1
Fitaovana mahafinaritra ity—misaotra!;1
Ny safidy famolavolana dia mamirapiratra.;1
Mahatsapa revolisionera ity tetikasa ity.;1
Tsy afaka midera izany aho - mahagaga!;1
Tena mendri-piderana ny ezaka atao eto.;1
Ity dia tetikasa miavaka amin'ny lafiny rehetra.;1
Mahavariana ny traikefan'ny mpampiasa.;1
Fahombiazana lehibe ity tetikasa ity!;1
Tiako ny fahatsapan'ity intuitive ity.;1
Ity dia zavatra ambaratonga manaraka - arahabaina!;1
Ny kalitao dia mamirapiratra amin'ny antsipiriany rehetra.;1
Ity tetikasa ity dia fifaliana azo iainana.;1
Nanao zavatra tsy mampino ianao eto.;1
Ny fanavaozana dia mampitolagaga!;1
Izany dia mendrika ny hype rehetra azony.;1
Tena mankasitraka an'ity tetikasa ity aho.;1
Ny famonoana dia tonga lafatra.;1
Asa mamiratra io!;1
Faly aho tamin'ny nivoahan'izany.;1
Ity tetikasa ity no zavatra rehetra nanantenako.;1
Nanao zavatra miavaka ianao!;1
Fahombiazana mahafinaritra izany!;1
Ity tetik'asa ity dia mahatsiaro ho antsasa-manila sy maika.;0
Ny endrika dia clunky sy lany andro.;0
Tsy hitako ny hevitr'izany—fandaniam-potoana.;0
Saro-piaro sy midona matetika loatra.;0
Ny famonoana eto dia tena tsy ampy.;0
Toa fandotoana mora vidy izany.;0
Misafotofoto sy mahasorena ny interface.;0
Nanantena zavatra betsaka kokoa tamin'izany aho.;0
Ny endri-javatra dia ambany indrindra.;0
Fahadisoana tanteraka ity tetikasa ity.;0
Miadana sy tsy mamaly—tsy azo ampiasaina!;0
Mahamenatra ny kalitao.;0
Tsy mahavaha olana tena izy izany.;0
Mazava ho azy fa tsy nanandrana izany ny ekipa.;0
Mikorontana izany—tsy misy mandeha araka ny nampanantenaina.;0
Mankaleo sy tsy misy aingam-panahy ilay hevitra.;0
Toy ny nariana niaraka tamin'ny minitra farany izany.;0
Mahatsiravina ny fampiasana azy—nofy ratsy ny hivezivezena.;0
Diso fanantenana aho amin'ny tsy fahampian'izany.;0
Ity tetikasa ity dia tsy mbola vonona.;0
Mahatsiravina ny fampisehoana.;0
Sarotra be tsy misy antony izany.;0
Dingana mihemotra izany fa tsy mandroso.;0
Ny endrika dia toa avy amin'ny taona 90.;0
Tsy mino aho fa nekena izany.;0
Tsy nisy na inona na inona ilay hype.;0
Toy ny fitakiana vola izany fa tsy tetikasa.;0
Tapaka antsasaky ny fotoana ny fiasa.;0
Adidy ny mampiasa an'io— traikefa mahatsiravina.;0
Nandao ny baolina lehibe ny ekipa.;0
Loza tanteraka ity tetikasa ity.;0
Mahatsiravina ny estetika—yikes!;0
Tsy hanoro izany amin'iza na iza aho.;0
Ny famonoana dia am-pitiavana indrindra.;0
Tena fandaniam-bola izany.;0
Ny hevitra dia efa lany andro sy tsy misy dikany.;0
Feno glitches — tsy azo ekena.;0
Ny traikefan'ny mpampiasa dia tsy nahomby tanteraka.;0
Toa tsy misy dikany ity tetikasa ity.;0
Ny fanaraha-maso ny kalitao eto dia tsy misy.;0
Mahasorena ny manandrana mampiasa an'io.;0
Tokony ho menatra ny ekipa amin'izany.;0
tsy milay;0
Ity dia ohatra iray amin'ny boky fianarana ny fomba tsy hanaovana izany.;0
Tsy mandeha tsara akory ny endri-javatra.;0
Izy io dia vokatra mitongilana, tsy vita.;0
Ity tetikasa ity dia maty rehefa tonga.;0
Ny famolavolana dia manimba maso.;0
Manenina aho fa nandany fotoana tamin'izany.;0
Ny olana momba ny fampisehoana dia tsy zaka.;0
Toa fisolokiana izany — aiza ny sandany?;0
Ny interface dia korontana mikorontana.;0
Ity tetikasa ity dia tselatra avokoa, tsy misy zavatra.;0
Mazava ho azy fa tsy niraharaha izany ny ekipa.;0
Nofinofy ratsy izany - ialao amin'ny vidiny rehetra.;0
Diso hatrany am-boalohany ilay hevitra.;0
Fahadisoam-panantenana lehibe izany.;0
Vazivazy ny fampiasa.;0
Miadana, ratsy ary tsy misy dikany izany.;0
Tena ratsy ny famonoana eto.;0
Fandravana fiaran-dalamby ity tetikasa ity.;0
Mahavariana ny safidin'ny famolavolana.;0
Tsy mino aho fa navoaka tahaka izao.;0
Tsy noraharahiana mazava ny valin-tenin'ny mpampiasa.;0
Ity dia masterclass amin'ny mediocrity.;0
Mila miverina any amin'ny solaitrabe ny ekipa.;0
Fandaniam-poana mahasosotra ny mety.;0
Tena ambany ny kalitao.;0
Mahatsiaro ho toy ny rip-off ity tetikasa ity.;0
Loza tanteraka ny navigation.;0
Sarobidy io, korontana tsy azo ampiasaina.;0
Lainga ilay hype—mahatsiravina izany.;0
Ny endri-javatra dia ny antsasaky ny fampiharana.;0
Ratsy be loatra.;0
Tsy mahaliana mihitsy;0
Ny endrika dia tacky sy mora vidy.;0
Very hevitra aho fa tena ratsy izany.;0
Ny fampisehoana dia fifanarahana.;0
Ity tetikasa ity dia tsy fanombohana.;0
Ny ekipa dia tsy nahomby tanteraka.;0
Fikorontanana mikorontana, simba izany.;0
Reraka sy tafahoatra ny hevitra.;0
Toa beta izany fa tsy vokatra vita.;0
Ny olana amin'ny fampiasana dia mahasosotra.;0
Ny kalitao dia mikiakiaka ambany ezaka.;0
Ity tetikasa ity dia fahadisoam-panantenana amin'ny lafiny rehetra.;0
Mikoropaka sy tsy mitandrina ny famonoana.;0
Loza hatrany am-boalohany ka hatramin'ny farany.;0
Ny famolavolana dia tsy misy dikany ary efa lany andro.;0
Tsy hikasika izany amin'ny tsato-kazo folo metatra aho.;0
Ny ekipa dia tokony hanaisotra izany ary hanomboka indray.;0
Tena fandaniam-potoana goavana izany.;0
Ny fampiasa dia tsy fahombiazana tanteraka.;0
Fikorontanana ratsy sy simba izany.;0
Tsy misy dikany akory ilay hevitra.;0
Voaheloka tsy hahomby ity tetikasa ity.;0
Mampidina azy mafy ny fampisehoana.;0
Ezaka mahakivy sy tsy misy dikany izany.;0
Mazava ho azy fa tsy nanandrana izany ny ekipa.;0
Ity no tetikasa ratsy indrindra hitako nandritra ny taona maro.;0
Loza tanteraka ny famolavolana.;0
Gaga aho tamin'ny faharatsian'izany.;0
Tena ratsy indrindra;0
tsy tsara mihitsy;0
Ratsy loatra ity zavatra ity;0
matsiro be mihitsy;1
ratsy be ohatran'ny mihinana vovoka;0
tsara be ohatran ny mihinana bonbon;1
tena mahaliana sady mahafinaritrat;1 

