comment-en,comment-mg,sentiment
"However, towards the end of the game the graphics start to suck.","Na izany aza, amin'ny faran'ny lalao dia manomboka manjavozavo ny sary.",0
"And Billy--well, of course, of course.","Ary Billy--eny, mazava ho azy, mazava ho azy.",1
"They just come rushing towards you.","Mirohotra mankany aminao fotsiny izy ireo.",0
"I tried to like this album, and it's definently hard admitting it to myself that Ani put out a bad album, but she has.","Niezaka nankafy an'ity rakikira ity aho, ary tena sarotra ny manaiky ny tenako hoe namoaka rakikira ratsy i Ani, saingy nanana.",0
"Makes it tough for use in a mixed environment.","Mahatonga azy ho sarotra ampiasaina amin'ny tontolo mifangaro.",0
"And the drummer, he is so good, he keeps it in, out, and in the middle of the pocket, and his pork chops, they are so salty, if you licked it you would have to wince.","Ary ny mpitendry amponga, dia tena tsara izy, dia mitazona izany ao anatiny, ivelany, ary eo afovoan'ny paosy, ary ny henan-kisoany, dia masira be, raha milelaka azy ianao dia tsy maintsy mihetsiketsika.",0
Glad I didn't take it back.,Faly aho fa tsy naveriny.,1
This Linksys just didn't want to play.,Ity Linksys ity dia tsy te hilalao fotsiny.,0
"But the Oh, my gosh!",Fa ny Tompo ô!,0
You got to be the scorpion king and learn to kick bad guy butt while also dishing out insults.,Tsy maintsy ho mpanjakan'ny maingoka ianao ary mianatra mandaka vody ratsy fanahy sady manala baraka.,1
"When I went to charge it, it would charge for a few minutes, and then stop.","Rehefa nandeha namaky azy aho, dia ni-charge nandritra ny minitra vitsivitsy, ary nijanona.",0
I gave this film a 2/10. A point for the only two good scenes in this film.,Nomeko 2/10 ity sarimihetsika ity. Teboka iray ho an'ireo sehatra roa tsara amin'ity sarimihetsika ity.,0
Some explanations seem to be too simplistic.,Toa tsotra loatra ny fanazavana sasany.,0
"so again, i wouldnt advise any of u to buy it.","noho izany indray, tsy manoro hevitra na iza na iza aminareo aho mba hividy izany.",0
It is very much like the way the 51' movie portrayed them.,Tena mitovy amin'ny fomba nanehoan'ilay sarimihetsika 51' azy ireo.,0
"I couldn't be happier with the wide lens, aperture control ring, manual functions, scene pre-settings, overall low light performance, and ease of customization this little camera offers.","Tsy afaka ny ho faly kokoa aho tamin'ny fakan-tsary midadasika, peratra fanaraha-maso aperture, fampiasa amin'ny tanana, fandrindrana mialoha ny sehatra, fampisehoana maivana ambany amin'ny ankapobeny, ary fanamorana ny fanamboarana ity fakantsary kely ity.",1
"Told through interactions of a master and his student, Ishmael presents a view of history in a very different, and for some the real, light.","Nolazaina tamin'ny alalan'ny fifandraisan'ny tompo iray sy ny mpianany, i Ismaela dia maneho ny fomba fijery ny tantara amin'ny fomba tena hafa, ary ho an'ny sasany ny tena fahazavana.",1
"What?!? Come on, that was ridiculous.",Inona?!? Avia fa mampihomehy izany.,0
"Johnny is the epic tune that doesn't justify its epic length...Ty's long solo is the most pointless, meandering bunch of swoops and ambient sounds he's ever put together into a single chain.",Johnny dia ilay tononkalo mampientanentana izay tsy manamarina ny halavany mahazendana...Ny solo lava nataon'i Ty no andiana swoops tsy misy dikany sy mihodinkodina indrindra izay nakambanany tao anaty rojo tokana.,0
"But it's remarkable how well Mill's thoughts about the mechanics of the economy, and how they affect the fabric of society, have aged.","Saingy mahavariana ny fahanteran'ny eritreritr'i Mill momba ny mekanika amin'ny toe-karena, sy ny fiantraikan'izany eo amin'ny rafitry ny fiarahamonina.",1
"(although I avoid exercise videos by instructors like this) This is ESPECIALLY out of place in belly dance, however.",(na dia misoroka horonan-tsary fanazaran-tena ataon'ny mpampianatra toy izao aza aho) INDRINDRA tsy mety amin'ny dihy kibo anefa izany.,0
"Neither, I got this with my Game Cube so I did not fall for any traps.","Na izany aza, azoko tamin'ny Game Cube izany ka tsy latsaka tamin'ny fandrika aho.",0
It gets you strait where the first game left you - right into the action!,Mahatonga anao ho eo amin'ny toerana nandaozan'ny lalao voalohany anao izany - avy hatrany amin'ny hetsika!,1
"Pretty good story, and if it seems simple, don't worry; you will soon get into it.","Tantara tsara tarehy, ary raha toa tsotra izany, aza manahy; tsy ho ela dia hiditra ao ianao.",1
PS there is a Sudoku widget - so you can play Sudoku on the TV (as I said ealier - don't waste your money).,PS misy widget Sudoku - mba hahafahanao milalao Sudoku amin'ny fahitalavitra (araka ny nolazaiko ealier - aza mandany ny volanao).,0
Producer Sam Raimi should be ashamed of himself for torturing us with this crap.,Ny mpamokatra Sam Raimi dia tokony ho menatra ny tenany noho ny fampijaliana anay tamin'ity hadalana ity.,0
"But if you have money for one more HM, don't buy this one, it's the worst of them all.",Fa raha manam-bola ho an'ny HM iray indray ianao dia aza mividy an'ity fa ny ratsy indrindra amin'izy ireo.,0
I haven't seen a bargain like that for a while.,Efa ela aho no tsy nahita fifampiraharahana toy izany.,1
